# 红区端口扫描报告
# 扫描开始时间: 2025-12-25 08:54:58
# 扫描结束时间: 2025-12-25 10:28:25
# 扫描用时: 1小时33分钟28秒
# 发现主机数: 513 台
#============================================================

10.32.20.1    7547
10.44.201.0    2000,5060
10.44.201.1    2000,5060
10.44.201.2    2000,5060
10.44.201.3    2000,5060
10.44.201.4    2000,5060
10.44.201.5    2000,5060
10.44.201.6    2000,5060
10.44.201.7    2000,5060
10.44.201.8    2000,5060
10.44.201.9    2000,5060
10.44.201.10    2000,5060
10.44.201.11    2000,5060
10.44.201.12    2000,5060
10.44.201.13    2000,5060
10.44.201.14    2000,5060
10.44.201.15    2000,5060
10.44.201.16    2000,5060
10.44.201.17    2000,5060
10.44.201.18    2000,5060
10.44.201.19    2000,5060
10.44.201.20    2000,5060
10.44.201.21    2000,5060
10.44.201.22    2000,5060
10.44.201.23    2000,5060
10.44.201.24    2000,5060
10.44.201.25    2000,5060
10.44.201.26    2000,5060
10.44.201.27    2000,5060
10.44.201.28    2000,5060
10.44.201.29    2000,5060
10.44.201.30    2000,5060
10.44.201.31    2000,5060
10.44.201.32    2000,5060
10.44.201.33    2000,5060
10.44.201.34    2000,5060
10.44.201.35    2000,5060
10.44.201.36    2000,5060
10.44.201.37    2000,5060
10.44.201.38    2000,5060
10.44.201.39    2000,5060
10.44.201.40    2000,5060
10.44.201.41    2000,5060
10.44.201.42    2000,5060
10.44.201.43    2000,5060
10.44.201.44    2000,5060
10.44.201.45    2000,5060
10.44.201.46    2000,5060
10.44.201.47    2000,5060
10.44.201.48    2000,5060
10.44.201.49    2000,5060
10.44.201.50    2000,5060
10.44.201.51    2000,5060
10.44.201.52    2000,5060
10.44.201.53    2000,5060
10.44.201.54    2000,5060
10.44.201.55    2000,5060
10.44.201.56    2000,5060
10.44.201.57    2000,5060
10.44.201.58    2000,5060
10.44.201.59    2000,5060
10.44.201.60    2000,5060
10.44.201.61    2000,5060
10.44.201.62    2000,5060
10.44.201.63    2000,5060
10.44.201.64    2000,5060
10.44.201.65    2000,5060
10.44.201.66    2000,5060
10.44.201.67    2000,5060
10.44.201.68    2000,5060
10.44.201.69    2000,5060
10.44.201.70    2000,5060
10.44.201.71    2000,5060
10.44.201.72    2000,5060
10.44.201.73    2000,5060
10.44.201.74    2000,5060
10.44.201.75    2000,5060
10.44.201.76    2000,5060
10.44.201.77    2000,5060
10.44.201.78    2000,5060
10.44.201.79    2000,5060
10.44.201.80    2000,5060
10.44.201.81    2000,5060
10.44.201.82    2000,5060
10.44.201.83    2000,5060
10.44.201.84    2000,5060
10.44.201.85    2000,5060
10.44.201.86    2000,5060
10.44.201.87    2000,5060
10.44.201.88    2000,5060
10.44.201.89    2000,5060
10.44.201.90    2000,5060
10.44.201.91    2000,5060
10.44.201.92    2000,5060
10.44.201.93    2000,5060
10.44.201.94    2000,5060
10.44.201.95    2000,5060
10.44.201.96    2000,5060
10.44.201.97    2000,5060
10.44.201.98    2000,5060
10.44.201.99    2000,5060
10.44.201.100    2000,5060
10.44.201.101    2000,5060
10.44.201.102    2000,5060
10.44.201.103    2000,5060
10.44.201.104    2000,5060
10.44.201.105    2000,5060
10.44.201.106    2000,5060
10.44.201.107    2000,5060
10.44.201.108    2000,5060
10.44.201.109    2000,5060
10.44.201.110    2000,5060
10.44.201.111    2000,5060
10.44.201.112    2000,5060
10.44.201.113    2000,5060
10.44.201.114    2000,5060
10.44.201.115    2000,5060
10.44.201.116    2000,5060
10.44.201.117    2000,5060
10.44.201.118    2000,5060
10.44.201.119    2000,5060
10.44.201.120    2000,5060
10.44.201.121    2000,5060
10.44.201.122    2000,5060
10.44.201.123    2000,5060
10.44.201.124    2000,5060
10.44.201.125    2000,5060
10.44.201.126    2000,5060
10.44.201.127    2000,5060
10.44.201.128    2000,5060
10.44.201.129    2000,5060
10.44.201.130    2000,5060
10.44.201.131    2000,5060
10.44.201.132    2000,5060
10.44.201.133    2000,5060
10.44.201.134    2000,5060
10.44.201.135    2000,5060
10.44.201.136    2000,5060
10.44.201.137    2000,5060
10.44.201.138    2000,5060
10.44.201.139    2000,5060
10.44.201.140    2000,5060
10.44.201.141    2000,5060
10.44.201.142    2000,5060
10.44.201.143    2000,5060
10.44.201.144    2000,5060
10.44.201.145    2000,5060
10.44.201.146    2000,5060
10.44.201.147    2000,5060
10.44.201.148    2000,5060
10.44.201.149    2000,5060
