# RustScan 网络扫描报告
# 扫描时间: 2025-10-10 14:26:08
# 扫描端口: 21,22,23,80,443,445,873,1433,1521,1883,2181,2375,3306,3389,5236,5432,5672,5900,5901,5902,5903,5904,5905,6379,7001,8080,8081,8082,8088,11211,8161,8443,8848,8888,9200,15672,27017,54321,61616

10.0.36.23  [443]
10.0.36.24  [443]
10.0.36.241  [80, 443]
10.0.36.244  [80, 443]
10.0.36.245  [80, 443]
10.0.36.246  [80, 443]
10.0.36.36  [443, 445]
10.0.36.37  [443, 445]
10.0.36.50  [445]
10.0.36.51  [445]
10.0.36.54  [445]
10.0.36.58  [445]
10.0.36.59  [445]
10.0.36.6  [80, 443]
10.0.36.66  [445]
10.0.36.67  [445]
10.0.36.68  [443]
10.0.36.69  [443]
10.0.36.8  [443, 8081]
10.0.36.9  [443, 8081]
10.0.36.91  [80, 8080]
10.0.49.31  [80]
10.0.49.32  [80, 443]
10.0.49.35  [443]
10.0.49.37  [443]
10.0.49.39  [80]
10.0.32.32  [80, 443]
10.0.32.33  [80, 443]
10.0.32.34  [443]
10.0.32.50  [443]
10.0.32.52  [80, 443]
10.0.32.54  [443]
10.0.32.89  [443]
10.0.32.91  [80]
10.0.4.53  [8080]
10.0.4.54  [8080]
10.0.34.102  [445, 8080]
10.0.34.103  [445]
10.0.34.104  [445]
10.0.34.109  [80, 443, 445]
10.0.34.110  [445]
10.0.34.111  [445, 8080]
10.0.34.112  [80, 443, 445]
10.0.34.113  [445]
10.0.34.114  [445]
10.0.34.115  [80, 443, 445]
10.0.34.116  [445]
10.0.34.117  [445, 8080]
10.0.34.141  [5236, 8080]
10.0.34.142  [445, 5236, 8080]
10.0.34.143  [5236, 8080]
10.0.34.144  [5236, 8080]
10.0.34.146  [445, 5236, 8080]
10.0.34.147  [8080]
10.0.34.148  [445, 5236, 8080]
10.0.34.149  [445, 5236, 8080]
10.0.34.150  [445]
10.0.34.151  [80]
10.0.34.152  [443]
10.0.34.153  [80, 443]
10.0.34.154  [80, 443]
10.0.34.156  [80, 443]
10.0.34.157  [80, 443, 445]
10.0.34.162  [80]
10.0.34.166  [80, 8081]
10.0.34.168  [443, 8081]
10.0.34.170  [80]
10.0.34.171  [8080]
10.0.34.172  [80, 445]
10.0.34.175  [80]
10.0.34.176  [80]
10.0.34.177  [445]
10.0.34.178  [445]
10.0.34.181  [445]
10.0.34.28  [8080]
10.0.34.32  [443]
10.0.34.38  [8081]
10.0.34.44  [80, 8081]
10.0.34.48  [80]
10.0.34.49  [80, 443, 8443]
10.0.34.5  [80]
10.0.34.60  [80, 443, 8080, 8081, 8082]
10.0.34.63  [80, 443]
10.0.34.64  [80]
10.0.34.66  [80, 443, 8443]
10.0.34.67  [8080]
10.0.34.70  [8081]
10.0.34.73  [80, 443, 8080]
10.0.34.74  [80, 443]
10.0.34.75  [443, 8080, 8081]
10.0.34.79  [80]
10.0.34.88  [80, 445]
10.0.34.92  [445]
10.0.34.93  [445]
10.0.34.94  [445]
10.0.34.95  [8080]
10.0.8.104  [80, 443]
10.0.8.106  [80, 443]
10.0.8.110  [443]
10.0.8.55  [80, 443]
10.0.8.96  [23]
10.0.67.11  [80, 443]
10.0.67.21  [80, 443]
10.0.67.231  [80]
10.0.67.232  [80, 8088]
10.0.82.21  [80, 443]
10.0.82.22  [80, 443]
10.0.82.23  [80, 443]
10.0.82.24  [80, 443]
10.0.80.101  [443, 8080]
10.0.80.102  [443, 8080]
10.0.80.103  [443, 8080]
10.0.80.104  [443, 8080]
10.0.80.105  [443, 8080]
10.0.80.106  [443, 8080]
10.0.80.107  [443, 8080]
10.0.80.108  [443, 8080]
10.0.80.21  [80, 443]
10.0.80.22  [80, 443]
10.0.80.23  [80, 443]
10.0.80.24  [80, 443]
10.0.91.11  [443, 445]
10.0.91.12  [443, 445]
10.0.91.170  [80]
10.0.94.101  [80]
10.0.94.102  [80]
10.0.94.103  [80]
10.0.94.104  [80]
10.0.94.105  [80]
10.0.94.106  [80]
10.0.94.107  [80]
10.0.94.108  [80]
10.0.94.109  [80]
10.0.94.110  [80]
10.0.94.111  [80]
10.0.94.112  [80]
10.0.94.113  [80]
10.0.94.114  [80]
10.0.94.115  [80]
10.0.94.116  [80]
10.0.94.117  [80]
10.0.94.118  [80]
10.0.94.119  [80]
10.0.94.120  [80]
10.0.94.121  [80]
10.0.94.122  [80]
10.0.94.150  [80]
10.0.94.201  [80]
10.0.94.202  [80]
10.0.94.203  [80]
10.0.94.204  [80]
10.0.94.212  [80]
10.0.94.213  [80]
10.0.94.214  [80]
10.0.94.215  [80]
10.0.94.216  [80]
10.0.94.217  [80]
10.0.94.218  [80]
10.0.94.219  [80]
10.0.94.220  [80]
10.0.94.221  [80]
10.0.94.222  [80]
10.0.95.24  [443, 8443]
10.0.95.26  [8080]
10.0.115.241  [80, 443]
